CCT_INS_PLA|NOMBRE_INS_PLA|CV_CCT|CV_TURNO|C_TURNO|NOMBRECT|CV_ENT_ADMNISTRATIVA|ENT_ADMINISTRATIVA|CV_ENT_INMUEBLE|ENTIDAD_INMUEBLE|CV_MUN|C_NOM_MUN|CV_LOC|C_NOM_LOC|C_NOM_VIALIDAD|N_EXTNUM|CONTROL|SUBCONTROL|CV_SERVICION1|TIPO|CV_SERVICION2|NIVEL|CV_SERVICION3|SUBNIVEL|CV_CARACTERIZAN1|C_CARACTERIZAN1|CV_CARACTERIZAN2|C_CARACTERIZAN2|CV_CARRERA|C_NOM_CARRERA|CV_MODALIDAD|C_MODALIDAD|CV_OPCION_EDUCATIVA|C_OPCION_EDUCATIVA|CV_PLAN_ESTUDIO|DURACION|CV_DURACION|C_DURACION|D_NORM|CV_ESTATUS|C_CARRERA_ESTATUS|CV_MOTIVO|C_MOTIVO|SUBSISTEMA_1|SUBSISTEMA_2|SUBSISTEMA_3|PERIODO|V1|V2|V3|V4|V5|V6|V7|V8|V9|V10|V11|V12|V13|V14|V15|V272|V16|V17|V18|V19|V20|V21|V22|V23|V24|V25|V26|V27|V28|V29|V30|V31|V32|V33|V34|V258|V259|V260|V261|V262|V263|V264|V265|V266|V267|V35|V36|V37|V38|V39|V40|V41|V42|V43|V44|V45|V46|V47|V48|V49|V50|V51|V52|V53|V54|V55|V56|V57|V58|V59|V60|V61|V62|V63|V64|V65|V66|V67|V68|V69|V70|V71|V72|V73|V74|V75|V76|V77|V78|V79|V80|V81|V82|V83|V84|V85|V86|V87|V88|V89|V90|V91|V92|V93|V94|V95|V96|V97|V98|V99|V100|V101|V102|V103|V104|V105|V106|V107|V108|V109|V110|V111|V112|V113|V114|V115|V116|V117|V118|V119|V120|V121|V122|V123|V124|V125|V126|V127|V128|V129|V130|V131|V132|V133|V134|V135|V136|V137|V138|V139|V140|V141|V142|V143|V144|V145|V313|V314|V315|V316|V317|V318|V319|V320|V321|V322|V323|V324|V325|V326|V327|V328|V329|V330|V331|V332|V333|V334|V335|V336|V337|V338|V339|V340|V341|V342|V343|V344|V345|V346|V146|V147|V148|V149|V150|V151|V152|V153|V154|V155|V156|V157|V158|V159|V160|V161|V162|V163|V164|V165|V166|V167|V168|V169|V170|V171|V172|V173|V174|V175|V176|V177|V178|V179|V180|V181|V182|V183|V184|V185|V186|V187|V188|V189|V190|V191|V192|V193|V194|V195|V196|V197|V198|V199|V200|V201|V202|V203|V204|V205|V206|V207|V208|V209|V210|V211|V212|V213|V214|V215|V216|V217|V218|V219|V220|V221|V222|V223|V224|V225|V226|V227|V228|V229|V230|V231|V232|V233|V234|V235|V236|V237|V238|V239|V240|V241|V242|V243|V244|V245|V246|V247|V248|V249|V250|V251|V252|V253|V254|V255|V256|V257|E302|V303|E304|V305|E306|V307|E308|V309|V347|V348|V349|V310|V311|V312|FECHA_ENTREGA|C_OBSERVACION|
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|7012604050|MAESTRÍA EN EDUCACIÓN EN EL ÁREA DE INGLÉS|2|MIXTA|3|MIXTA|2012|4|5|CUATRIMESTRES|1211000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|7012604050|MAESTRÍA EN EDUCACIÓN EN EL ÁREA DE INGLÉS|3|NO ESCOLARIZADA|9|EN LÍNEA O VIRTUAL|2020|3|5|CUATRIMESTRES|2111000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|8011500001|DOCTORADO EN CIENCIAS DE LA EDUCACIÓN|3|NO ESCOLARIZADA|9|EN LÍNEA O VIRTUAL|2019|4|5|CUATRIMESTRES|1211000|3|Liquidacion|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|1|0|2019|10|25|0|0|0|4|0|0|1|0|0|0|75|0|0|0|1|0|0|0|0|3|3|6|0|0|3|3|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|2|0|0|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|1|0|0|1|1|2|0|0|2|0|0|0|0|0|0|0|2|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|8011500035|DOCTORADO EN EDUCACIÓN P. H. D.|2|MIXTA|3|MIXTA|2020|6|5|CUATRIMESTRES|1211000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|8042300001|DOCTORADO EN GOBERNABILIDAD Y GESTIÓN PÚBLICA|2|MIXTA|3|MIXTA|2011|2|1|AÑOS|1211000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0025S|UNIVERSIDAD DE BAJA CALIFORNIA|06PSU0026O|4|DISCONTINUO|UNIVERSIDAD DE BAJA CALIFORNIA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALZADA PEDRO A GALVÁN|100|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|8042300017|DOCTORADO EN GOBERNABILIDAD Y GESTIÓN PÚBLICA P. H. D.|2|MIXTA|3|MIXTA|2020|6|5|CUATRIMESTRES|1211000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-31||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|6033100002|ESPECIALIDAD EN DERECHOS HUMANOS|1|ESCOLARIZADA|1|PRESENCIAL|0|0|999|NO APLICA|1112330|1|Activa|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|1|0|0|0|12|11|0|0|0|0|0|0|0|0|0|1|65|0|0|0|1|3|2|4|6|2|4|6|0|0|5|1|6|0|0|0|0|0|0|0|0|0|0|0|0|2025|9|6|30|6|4|10|0|0|0|10|10|6|4|10|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|10|0|0|0|10|3|2|1|1|0|0|0|0|3|0|0|10|6|4|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|4|10|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|10|0|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|0|1|1|2|0|0|1|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|6|4|10|0|0|10|0|0|0|0|0|0|0|10|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|6041100034|ESPECIALIDAD EN CLASIFICACIÓN ARANCELARIA|1|ESCOLARIZADA|1|PRESENCIAL|0|0|999|NO APLICA|1112330|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|6042100021|ESPECIALIDAD EN ALTA DIRECCIÓN|1|ESCOLARIZADA|1|PRESENCIAL|2009|3|5|CUATRIMESTRES|1112330|1|Activa|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|1|0|0|2009|8|10|0|0|0|3|0|0|1|0|0|0|47|0|0|0|1|3|4|5|9|4|5|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2025|9|6|20|5|3|8|0|0|0|8|8|5|3|8|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|6|2|0|0|8|1|0|2|0|1|1|0|0|3|0|0|8|5|3|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|3|8|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|6|2|0|0|0|0|0|0|0|0|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|0|1|0|1|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|2|1|3|0|0|0|0|0|0|0|0|0|0|0|0|5|3|8|0|0|8|0|0|0|0|0|0|0|8|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|7033100050|MAESTRÍA EN DERECHO DE AMPARO|1|ESCOLARIZADA|1|PRESENCIAL|2009|4|2|SEMESTRES|1112330|1|Activa|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|1|0|0|2009|3|20|0|0|0|4|0|1|0|0|0|0|142|0|0|1|0|2|4|8|12|4|5|9|0|0|4|4|8|0|0|0|0|0|0|0|0|0|0|0|0|2025|8|30|30|8|10|18|0|0|4|14|18|8|10|18|0|0|0|0|0|0|0|17|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|18|14|4|0|0|18|7|0|1|0|1|1|0|1|1|3|3|18|8|10|18|0|0|0|3|5|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|15|26|0|0|0|0|0|0|0|0|18|0|0|0|0|0|0|0|5|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|26|21|5|0|0|0|0|0|0|0|0|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|7|0|0|0|1|1|0|0|0|3|3|0|0|0|0|0|0|0|0|1|1|0|0|1|0|1|0|0|0|0|0|0|0|1|0|1|0|0|2|2|4|0|0|1|3|4|0|0|3|1|4|0|0|11|15|26|0|0|21|0|0|0|5|0|0|0|26|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|7033100077|MAESTRÍA EN DERECHO PENAL|1|ESCOLARIZADA|1|PRESENCIAL|2012|5|5|CUATRIMESTRES|1112330|1|Activa|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|1|0|0|2012|10|18|0|0|0|5|0|0|1|0|0|0|79|0|0|0|1|3|3|7|10|1|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2025|9|6|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|6|10|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|10|8|2|0|0|0|0|0|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|3|0|0|0|1|1|0|0|0|0|0|0|0|1|1|2|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|2|0|0|0|0|0|0|0|1|0|1|0|0|4|6|10|0|0|10|0|0|0|0|0|0|0|10|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
06MSU0006D|UNIVERSIDAD UNIVER|06PSU0027N|4|DISCONTINUO|UNIVERSIDAD UNIVER COLIMA|06|COLIMA|06|COLIMA|002|COLIMA|0001|COLIMA|CALLE AQUILES SERDAN|0|PRIVADO|PRIVADO|4|SUPERIOR|1|SUPERIOR|1|LICENCIATURA Y POSGRADO|0|NO APLICA|0|NO APLICA|7033200002|MAESTRÍA EN CIENCIAS FORENSES|2|MIXTA|3|MIXTA|2024|5|5|CUATRIMESTRES|1211000|2|Latencia|0||EDUCACIÓN SUPERIOR|UNIVERSIDADES PARTICULARES|UNIVERSIDADES PARTICULARES|2025|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||0||0||0||0|0|0|0|0|0|0|2025-10-29||
